"ts.br_prod" "ts.us_prod"
"1" 42.3966984191542 1036.9978772875
"2" 44.2773237686965 1111.53000904056
"3" 48.2744465301906 1157.28591127037
"4" 50.5046150596583 1212.52074065734
"5" 54.4077058759509 1215.2644149344
"6" 57.6650978848346 1295.99450874198
"7" 59.4956052601365 1329.43622728009
"8" 65.18142698988 1372.94123093562
"9" 69.0364171113217 1372.11726930061
"10" 74.0325898312445 1458.69415413807
"11" 79.4282226372257 1499.54539196162
"12" 90.5596558643741 1541.26703836127
"13" 95.1953096678219 1626.99162415716
"14" 101.280105270627 1699.04752896061
"15" 105.442238329507 1788.34642132915
"16" 112.73345259587 1893.06504873877
"17" 117.141839355241 2022.0836229833
"18" 123.79494222367 2098.62981579989
"19" 137.588445827608 2212.61562048996
"20" 146.339809518841 2289.089525292
"21" 162.241755692308 2329.66012197347
"22" 182.036859697202 2424.56435043301
"23" 205.347471216717 2550.52759402707
"24" 235.84448405958 2711.50121334907
"25" 257.056278691374 2728.03008128251
"26" 272.455229791075 2755.69152936351
"27" 302.7535039228 2899.25116419234
"28" 320.1589832044 3042.82365823196
"29" 338.692974355742 3217.34811550187
"30" 364.410127327381 3334.55707312036
"31" 401.15133818569 3353.58304115898
"32" 386.223229082046 3459.38049285856
"33" 391.581080211816 3398.90786894427
"34" 382.20640990307 3518.77535453001
"35" 405.069583003569 3738.80169549777
"36" 439.277342517037 3900.38397740904
"37" 474.787858916231 4057.62713821392
"38" 494.263078319593 4183.45564478907
"39" 496.694554040362 4354.60330096975
"40" 515.219233109286 4487.81243900479
"41" 495.429906402197 4618.22210106892
"42" 501.806713108453 4638.03494673893
"43" 500.816765645066 4786.6406318305
"44" 526.374653068816 4896.34227623899
"45" 558.596638304053 5071.43845568394
"46" 583.68636321267 5193.96986082079
"47" 597.769181898984 5417.69631871661
"48" 619.535699987255 5623.78924011704
"49" 621.347021883531 5864.4388941521
"50" 622.925648736859 6135.17770713406
"51" 649.750055475419 6418.12335708904
"52" 658.2820456705 6553.1684985941
"53" 675.779801791771 6683.56036052811
"54" 683.528426958597 6891.01439101439
"55" 722.573569179734 7129.80510516834
"56" 745.40453557849 7353.73647984268
"57" 774.900454372062 7536.6214218519
"58" 822.102822939218 7692.09161877787
"59" 864.543917006339 7689.94105075272
"60" 861.679594205311 7553.03192629098
"61" 926.595156273042 7664.76109567382
"62" 951.917934814812 7763.72868421825
